N,
-3.14159,0.153938
-3.14055,0.153938
-3.1374,0.1528908
-3.13531,0.1507964
-3.13531,0.148702
-3.13217,0.1466076
-3.12693,0.1350884
-3.12693,0.132994
-3.12588,0.1319468
-3.12588,0.1277582
-3.12798,0.1256638
-3.12903,0.1225222
-3.12274,0.1151918
-3.12274,0.1130974
-3.12379,0.1120502
-3.12274,0.105767
-3.12379,0.1047198
-3.11646,0.0963422
-3.11332,0.0963422
-3.10704,0.1026254
-3.10389,0.1026254
-3.10075,0.0994838
-3.08714,0.0942478
-3.07876,0.0890118
-3.07038,0.0816814
-3.07038,0.0565486
-3.06201,0.0544542
-3.03792,0.0544542
-3.03583,0.0565486
-3.03164,0.0575958
-3.01488,0.058643
-3.01488,0.0659734
-3.01593,0.0670206
-3.03059,0.0670206
-3.03478,0.069115
-3.04106,0.0753982
-3.04839,0.090059
-3.04839,0.0932006
-3.05572,0.0984366
-3.06829,0.1120502
-3.06829,0.116239
-3.05468,0.1298524
-3.04734,0.132994
-3.0442,0.1361356
-3.03478,0.1403244
-3.01802,0.143466
-3.0086,0.1549852
-3.0086,0.1570796
-3.0065,0.1602212
-3.0065,0.1623156
-3.00441,0.1654572
-3.00336,0.169646
-2.99708,0.1759292
-2.99184,0.1780236
-2.96881,0.1780236
-2.96147,0.1706932
-2.95205,0.1665044
-2.94577,0.1602212
-2.94577,0.153938
-2.94891,0.1497492
-2.94891,0.1455604
-2.94472,0.1413716
-2.94472,0.1392772
-2.94053,0.1340412
-2.93634,0.1235694
-2.92901,0.1151918
-2.92482,0.1141446
-2.91645,0.105767
-2.90597,0.1015782
-2.88922,0.084823
-2.87875,0.084823
-2.86513,0.0911062
-2.8599,0.095295
-2.84209,0.100531
-2.79706,0.1036726
-2.79392,0.1068142
-2.77717,0.1068142
-2.7667,0.1172862
-2.76146,0.1204278
-2.7667,0.121475
-2.77088,0.1193806
-2.78031,0.1193806
-2.78659,0.1225222
-2.79497,0.1235694
-2.80021,0.1277582
-2.80021,0.1476548
-2.79811,0.1507964
-2.79811,0.1528908
-2.79602,0.1570796
-2.78555,0.1675516
-2.78345,0.1706932
-2.78345,0.1727876
-2.77612,0.180118
-2.77612,0.1832596
-2.78136,0.1884956
-2.78555,0.19059
-2.80544,0.19059
-2.81382,0.1947788
-2.81906,0.1947788
-2.83581,0.200014
-2.84942,0.210486
-2.8578,0.218864
-2.85885,0.220958
-2.85885,0.2241
-2.86094,0.227242
-2.86094,0.230384
-2.86409,0.233526
-2.86513,0.24295
-2.86723,0.248186
-2.86723,0.2618
-2.86513,0.265988
-2.86513,0.270176
-2.86199,0.274366
-2.86199,0.277508
-2.8599,0.279602
-2.85885,0.286932
-2.85675,0.290074
-2.85675,0.292168
-2.85466,0.296356
-2.84,0.313112
-2.82324,0.319396
-2.80335,0.322536
-2.79602,0.327772
-2.76355,0.331962
-2.75099,0.335104
-2.72795,0.33615
-2.71538,0.325678
-2.71538,0.313112
-2.71119,0.30264
-2.71119,0.298452
-2.71015,0.297404
-2.71015,0.29112
-2.7091,0.290074
-2.7091,0.285884
-2.71224,0.281696
-2.71224,0.277508
-2.71329,0.27646
-2.71329,0.272272
-2.71434,0.271224
-2.71434,0.268082
-2.71643,0.265988
-2.71643,0.263894
-2.71748,0.262846
-2.71748,0.249234
-2.71538,0.246092
-2.71538,0.238762
-2.72062,0.234572
-2.72586,0.232478
-2.73423,0.225148
-2.73528,0.220958
-2.73842,0.217818
-2.74156,0.211534
-2.74156,0.203156
-2.7468,0.1926844
-2.74785,0.185354
-2.75308,0.1759292
-2.75308,0.1706932
-2.74785,0.1602212
-2.74261,0.153938
-2.74261,0.1507964
-2.74052,0.148702
-2.73842,0.143466
-2.73633,0.1413716
-2.73528,0.1424188
-2.73528,0.1633628
-2.73214,0.1665044
-2.73214,0.1685988
-2.729,0.1727876
-2.72481,0.1822124
-2.72271,0.1843068
-2.72062,0.19059
-2.70805,0.20211
-2.69234,0.20211
-2.69025,0.200014
-2.6892,0.1937316
-2.68816,0.1926844
-2.68816,0.174882
-2.69025,0.1717404
-2.69025,0.1685988
-2.69234,0.1654572
-2.69234,0.1623156
-2.69758,0.1528908
-2.69758,0.1476548
-2.69653,0.1466076
-2.6913,0.153938
-2.6913,0.1570796
-2.68711,0.1612684
-2.68711,0.1633628
-2.68397,0.1675516
-2.68397,0.1706932
-2.68187,0.1738348
-2.68187,0.1759292
-2.67873,0.180118
-2.67873,0.1822124
-2.66826,0.19059
-2.65569,0.19059
-2.6515,0.1884956
-2.63684,0.1759292
-2.63161,0.1685988
-2.63161,0.1424188
-2.64627,0.1277582
-2.6536,0.1246166
-2.65883,0.1183334
-2.65883,0.1130974
-2.65255,0.1068142
-2.63684,0.1078614
-2.62114,0.116239
-2.62114,0.1204278
-2.61904,0.1235694
-2.61904,0.126711
-2.61799,0.1277582
-2.61799,0.1308996
-2.61904,0.1319468
-2.61904,0.1445132
-2.61171,0.153938
-2.61171,0.1570796
-2.60962,0.159174
-2.60962,0.1612684
-2.59391,0.1769764
-2.58867,0.180118
-2.5426,0.1811652
-2.53841,0.1780236
-2.52375,0.1790708
-2.51851,0.1738348
-2.50385,0.1675516
-2.50175,0.16441
-2.49442,0.159174
-2.49233,0.1560324
-2.49233,0.1507964
-2.49024,0.1466076
-2.49024,0.1340412
-2.49547,0.1288052
-2.49757,0.1288052
-2.50594,0.1235694
-2.50909,0.1235694
-2.51223,0.1204278
-2.51223,0.1183334
-2.51013,0.116239
-2.49966,0.1120502
-2.48919,0.1120502
-2.48081,0.116239
-2.47767,0.116239
-2.47034,0.1120502
-2.46824,0.1089086
-2.46824,0.0942478
-2.47034,0.0911062
-2.47034,0.0869174
-2.47243,0.084823
-2.47243,0.0816814
-2.47558,0.0774926
-2.47558,0.074351
-2.47872,0.0701622
-2.47872,0.0670206
-2.47976,0.0659734
-2.47976,0.0607374
-2.48186,0.0575958
-2.48186,0.0544542
-2.48291,0.053407
-2.48291,0.036652
-2.48395,0.0356048
-2.48395,0.0303688
-2.48605,0.0282744
-2.49024,0.01989676
-2.49024,0.01256638
-2.48395,0.01151918
-2.47558,0.01570796
-2.46301,0.01570796
-2.44416,0.0031416
-2.43578,0.0031416
-2.43264,0.00628318
-2.43264,0.00942478
-2.42845,0.01361356
-2.42426,0.01361356
-2.41588,0.01675516
-2.40227,0.0272272
-2.40227,0.0303688
-2.40437,0.0345576
-2.40437,0.0397936
-2.40646,0.042935
-2.40646,0.0450294
-2.41065,0.0502654
-2.41065,0.0575958
-2.39808,0.069115
-2.38761,0.0764454
-2.38552,0.0764454
-2.37923,0.0827286
-2.37504,0.0837758
-2.36876,0.0890118
-2.36352,0.090059
-2.35515,0.0994838
-2.35305,0.1026254
-2.35305,0.1047198
-2.35724,0.1099558
-2.36667,0.1120502
-2.37609,0.1193806
-2.37714,0.121475
-2.37714,0.126711
-2.37923,0.1308996
-2.37923,0.1371828
-2.38133,0.1424188
-2.38552,0.1424188
-2.38761,0.1403244
-2.39389,0.13823
-2.41274,0.1371828
-2.41903,0.1413716
-2.42636,0.148702
-2.4274,0.153938
-2.43055,0.159174
-2.43055,0.1623156
-2.43159,0.1633628
-2.43159,0.169646
-2.44521,0.1822124
-2.45044,0.185354
-2.45463,0.185354
-2.46301,0.1884956
-2.47558,0.1895428
-2.49757,0.204204
-2.49861,0.20525
-2.49861,0.225148
-2.48919,0.236666
-2.47453,0.245044
-2.47139,0.248186
-2.46091,0.252374
-2.44521,0.252374
-2.4295,0.248186
-2.41903,0.248186
-2.41588,0.25028
-2.40751,0.251328
-2.39913,0.25447
-2.38552,0.25447
-2.38028,0.249234
-2.37714,0.248186
-2.36771,0.253422
-2.34468,0.260752
-2.33211,0.259704
-2.32268,0.255516
-2.3164,0.249234
-2.3164,0.230384
-2.31326,0.2241
-2.30698,0.218864
-2.28289,0.217818
-2.26823,0.225148
-2.25776,0.233526
-2.24938,0.23562
-2.23472,0.223054
-2.21796,0.21677
-2.21378,0.21677
-2.20435,0.210486
-2.19493,0.206298
-2.19178,0.203156
-2.19178,0.1989676
-2.19074,0.1968732
-2.1855,0.1916372
-2.1855,0.1874484
-2.18341,0.1832596
-2.17817,0.1769764
-2.17817,0.16441
-2.18131,0.1602212
-2.18131,0.1581268
-2.18341,0.153938
-2.18341,0.1507964
-2.1855,0.148702
-2.1855,0.1466076
-2.1876,0.1424188
-2.1876,0.1371828
-2.1855,0.1350884
-2.17084,0.1350884
-2.16456,0.1392772
-2.16456,0.143466
-2.16246,0.1455604
-2.16246,0.1497492
-2.15723,0.1560324
-2.15094,0.1665044
-2.14571,0.1717404
-2.14571,0.1864012
-2.14361,0.1895428
-2.14361,0.1916372
-2.13105,0.208392
-2.11429,0.2241
-2.09649,0.225148
-2.09021,0.218864
-2.08497,0.215722
-2.05355,0.213628
-2.04099,0.223054
-2.03889,0.226194
-2.01586,0.227242
-1.97501,0.226194
-1.97187,0.223054
-1.97187,0.20211
-1.95931,0.1884956
-1.9415,0.1874484
-1.93941,0.1895428
-1.93941,0.1947788
-1.93732,0.1968732
-1.91218,0.195826
-1.90799,0.1916372
-1.90799,0.1832596
-1.90381,0.1780236
-1.90381,0.1633628
-1.91114,0.1560324
-1.91951,0.1507964
-1.92475,0.1507964
-1.92999,0.1455604
-1.92999,0.143466
-1.93103,0.1424188
-1.93103,0.1308996
-1.93313,0.1288052
-1.93417,0.1246166
-1.93836,0.1193806
-1.94465,0.1141446
-1.97292,0.1015782
-1.97397,0.100531
-1.97397,0.0973894
-1.97606,0.095295
-1.97606,0.0911062
-1.97816,0.0879646
-1.97816,0.0764454
-1.97187,0.0712094
-1.96559,0.0701622
-1.95617,0.0659734
-1.94779,0.0575958
-1.9415,0.0450294
-1.93522,0.0408408
-1.92161,0.0408408
-1.91847,0.042935
-1.90695,0.0450294
-1.88496,0.0460766
-1.87134,0.0502654
-1.86611,0.0555014
-1.86506,0.0575958
-1.86506,0.0649262
-1.86192,0.0701622
-1.86192,0.0733038
-1.85982,0.0764454
-1.85982,0.0869174
-1.86506,0.0921534
-1.8682,0.0932006
-1.90485,0.0921534
-1.91637,0.0890118
-1.92056,0.0890118
-1.9237,0.0911062
-1.9237,0.1277582
-1.92265,0.1288052
-1.92265,0.1308996
-1.91218,0.1413716
-1.90381,0.143466
-1.90171,0.1455604
-1.88496,0.1528908
-1.87029,0.1560324
-1.85249,0.1633628
-1.8504,0.1675516
-1.83993,0.1780236
-1.83364,0.1822124
-1.82631,0.1979204
-1.81898,0.20525
-1.80956,0.208392
-1.79804,0.208392
-1.79385,0.20525
-1.76139,0.20525
-1.75196,0.206298
-1.74777,0.208392
-1.7195,0.208392
-1.71322,0.203156
-1.70588,0.200014
-1.664,0.1926844
-1.65876,0.1864012
-1.64724,0.1790708
-1.62525,0.1790708
-1.62316,0.1811652
-1.60012,0.1811652
-1.59488,0.1780236
-1.59383,0.1769764
-1.59383,0.1727876
-1.59279,0.1717404
-1.59279,0.1633628
-1.59174,0.1623156
-1.59174,0.1340412
-1.59279,0.132994
-1.59279,0.1193806
-1.58965,0.1141446
-1.58546,0.1099558
-1.58546,0.1078614
-1.58336,0.1036726
-1.58336,0.0879646
-1.58755,0.084823
-1.58965,0.079587
-1.58965,0.0712094
-1.58755,0.069115
-1.5865,0.063879
-1.58441,0.0617846
-1.56451,0.0617846
-1.55928,0.063879
-1.55404,0.069115
-1.54566,0.0733038
-1.54566,0.0858702
-1.54671,0.0869174
-1.54671,0.090059
-1.54776,0.0911062
-1.54776,0.0942478
-1.54881,0.0963422
-1.55614,0.1047198
-1.56032,0.1047198
-1.57394,0.1130974
-1.57917,0.1193806
-1.57917,0.121475
-1.58022,0.1225222
-1.58022,0.1256638
-1.58127,0.126711
-1.58232,0.132994
-1.58336,0.1340412
-1.58336,0.143466
-1.58232,0.1445132
-1.58232,0.1497492
-1.58127,0.1507964
-1.58127,0.1549852
-1.57394,0.16441
-1.56032,0.16441
-1.55614,0.1623156
-1.53519,0.159174
-1.52472,0.1497492
-1.51634,0.1497492
-1.51215,0.1476548
-1.49435,0.1476548
-1.48911,0.1455604
-1.48283,0.1455604
-1.47341,0.1413716
-1.46398,0.1455604
-1.4577,0.1455604
-1.45351,0.1413716
-1.45351,0.132994
-1.4577,0.1277582
-1.46189,0.1193806
-1.46503,0.116239
-1.47655,0.0984366
-1.49121,0.0837758
-1.4933,0.0837758
-1.50168,0.0785398
-1.50692,0.0733038
-1.51739,0.0565486
-1.52472,0.0492182
-1.52472,0.0471238
-1.531,0.0387464
-1.531,0.0335104
-1.52577,0.0282744
-1.51634,0.0240856
-1.51111,0.0240856
-1.50378,0.0356048
-1.50378,0.0376992
-1.50063,0.042935
-1.4933,0.0502654
-1.47864,0.0575958
-1.47027,0.0659734
-1.45979,0.0722566
-1.4556,0.0764454
-1.45246,0.0816814
-1.44409,0.090059
-1.44199,0.090059
-1.4399,0.0921534
-1.4399,0.0963422
-1.43885,0.0973894
-1.43885,0.1277582
-1.43571,0.1340412
-1.43047,0.1392772
-1.41895,0.1392772
-1.41581,0.1350884
-1.41581,0.1256638
-1.41476,0.1246166
-1.41476,0.1141446
-1.41581,0.1130974
-1.41581,0.1026254
-1.41686,0.1015782
-1.41686,0.0932006
-1.41791,0.0921534
-1.41791,0.0879646
-1.41895,0.0869174
-1.41895,0.0628318
-1.41581,0.0596902
-1.40429,0.0607374
-1.4001,0.063879
-1.38754,0.0670206
-1.38544,0.069115
-1.3844,0.074351
-1.38125,0.0764454
-1.38125,0.0785398
-1.37811,0.0827286
-1.37811,0.0994838
-1.3823,0.105767
-1.3823,0.1089086
-1.38544,0.1120502
-1.38754,0.1172862
-1.38963,0.1193806
-1.38963,0.1225222
-1.3844,0.1277582
-1.38125,0.1288052
-1.37602,0.1340412
-1.36764,0.1392772
-1.35822,0.1424188
-1.35507,0.1455604
-1.34146,0.1528908
-1.33937,0.1549852
-1.33937,0.1570796
-1.33832,0.1581268
-1.33832,0.1633628
-1.33727,0.16441
-1.33727,0.1685988
-1.33204,0.1727876
-1.3069,0.1822124
-1.29748,0.1822124
-1.25245,0.195826
-1.2315,0.195826
-1.22836,0.1979204
-1.22522,0.1979204
-1.22313,0.200014
-1.21161,0.203156
-1.20009,0.203156
-1.19904,0.20211
-1.19904,0.200014
-1.18229,0.1832596
-1.18229,0.1811652
-1.18124,0.180118
-1.18124,0.159174
-1.19799,0.143466
-1.21894,0.1308996
-1.24198,0.1130974
-1.24198,0.0994838
-1.24302,0.0984366
-1.24302,0.0963422
-1.24198,0.095295
-1.22522,0.0963422
-1.21894,0.1026254
-1.21475,0.1120502
-1.20847,0.1204278
-1.19904,0.1298524
-1.18229,0.1413716
-1.17286,0.1413716
-1.16763,0.13823
-1.15611,0.13823
-1.14354,0.1361356
-1.13411,0.1340412
-1.13097,0.1319468
-1.13097,0.1225222
-1.13411,0.1183334
-1.13411,0.116239
-1.13726,0.111003
-1.13726,0.1078614
-1.1383,0.1068142
-1.1383,0.0942478
-1.13726,0.0932006
-1.13097,0.0932006
-1.12783,0.095295
-1.11841,0.0973894
-1.11212,0.1036726
-1.10794,0.1120502
-1.10794,0.116239
-1.11003,0.1193806
-1.11003,0.1256638
-1.11108,0.126711
-1.11108,0.1288052
-1.11841,0.1371828
-1.12574,0.1413716
-1.13307,0.148702
-1.14668,0.1581268
-1.15506,0.1665044
-1.15506,0.1685988
-1.15715,0.1727876
-1.15715,0.1843068
-1.15087,0.1947788
-1.1383,0.207346
-1.13411,0.210486
-1.12783,0.212582
-1.11945,0.212582
-1.11003,0.204204
-1.1027,0.204204
-1.09642,0.1979204
-1.08699,0.1937316
-1.07338,0.1843068
-1.065,0.1811652
-1.05872,0.1759292
-1.05872,0.1717404
-1.05558,0.1654572
-1.05558,0.1623156
-1.05348,0.1581268
-1.05348,0.1403244
-1.05558,0.1371828
-1.05558,0.132994
-1.05662,0.1319468
-1.05662,0.1256638
-1.05348,0.1225222
-1.04929,0.1225222
-1.04824,0.1235694
-1.04824,0.1288052
-1.0472,0.1298524
-1.0472,0.1497492
-1.04615,0.1507964
-1.04615,0.1560324
-1.0451,0.1570796
-1.0451,0.16441
-1.0472,0.1665044
-1.0472,0.1717404
-1.04929,0.174882
-1.04929,0.1790708
-1.05139,0.1811652
-1.05139,0.1832596
-1.05348,0.185354
-1.05976,0.1979204
-1.05976,0.201062
-1.05872,0.20211
-1.05872,0.208392
-1.05662,0.210486
-1.04406,0.214676
-1.02625,0.215722
-1.02102,0.211534
-1.01473,0.208392
-1.01159,0.208392
-1.00322,0.203156
-0.996932,0.1968732
-0.995885,0.1937316
-0.99379,0.1916372
-0.992743,0.1874484
-0.984366,0.1769764
-0.974941,0.1759292
-0.965516,0.1759292
-0.957139,0.1832596
-0.956091,0.1874484
-0.950855,0.19059
-0.943525,0.19059
-0.9341,0.195826
-0.927817,0.1979204
-0.921534,0.1979204
-0.913156,0.207346
-0.901637,0.206298
-0.896401,0.20211
-0.895354,0.1989676
-0.889071,0.1926844
-0.889071,0.1780236
-0.891165,0.1759292
-0.891165,0.1727876
-0.89326,0.1706932
-0.89326,0.1675516
-0.894307,0.1665044
-0.894307,0.1602212
-0.889071,0.1528908
-0.884882,0.1445132
-0.872316,0.1403244
-0.866032,0.1403244
-0.863938,0.1424188
-0.863938,0.1476548
-0.864985,0.148702
-0.864985,0.1738348
-0.866032,0.174882
-0.866032,0.1874484
-0.859749,0.1937316
-0.849277,0.195826
-0.828333,0.195826
-0.823097,0.201062
-0.817861,0.201062
-0.805295,0.1884956
-0.805295,0.1685988
-0.806342,0.1675516
-0.806342,0.16441
-0.792729,0.1633628
-0.791681,0.16441
-0.791681,0.1780236
-0.790634,0.1790708
-0.790634,0.1832596
-0.789587,0.1843068
-0.787493,0.1926844
-0.785398,0.1947788
-0.785398,0.20211
-0.779115,0.208392
-0.771785,0.208392
-0.761313,0.1989676
-0.761313,0.1968732
-0.760265,0.195826
-0.760265,0.1790708
-0.759218,0.1780236
-0.759218,0.1727876
-0.758171,0.1717404
-0.758171,0.1654572
-0.757124,0.16441
-0.756077,0.1549852
-0.752935,0.1507964
-0.752935,0.148702
-0.750841,0.1466076
-0.734085,0.143466
-0.731991,0.1455604
-0.731991,0.148702
-0.730944,0.1497492
-0.728849,0.1581268
-0.733038,0.1623156
-0.733038,0.16441
-0.734085,0.1654572
-0.734085,0.1727876
-0.735133,0.1738348
-0.735133,0.1843068
-0.731991,0.1864012
-0.729897,0.19059
-0.725708,0.1947788
-0.720472,0.1979204
-0.714189,0.200014
-0.696386,0.200014
-0.689056,0.1947788
-0.677537,0.1832596
-0.674395,0.1811652
-0.668112,0.180118
-0.652404,0.1633628
-0.652404,0.1602212
-0.651357,0.159174
-0.65031,0.153938
-0.640885,0.1403244
-0.638791,0.132994
-0.632507,0.126711
-0.632507,0.1246166
-0.62413,0.1151918
-0.617847,0.1141446
-0.610516,0.105767
-0.609469,0.1036726
-0.609469,0.0869174
-0.610516,0.084823
-0.604233,0.079587
-0.600044,0.0785398
-0.591667,0.0733038
-0.589572,0.0764454
-0.589572,0.0816814
-0.594808,0.0879646
-0.594808,0.0942478
-0.590619,0.100531
-0.585383,0.1047198
-0.568628,0.105767
-0.566534,0.1078614
-0.564439,0.1078614
-0.562345,0.1120502
-0.558156,0.116239
-0.551873,0.116239
-0.54559,0.1151918
-0.542448,0.1120502
-0.542448,0.1078614
-0.544543,0.105767
-0.544543,0.0994838
-0.558156,0.084823
-0.573864,0.0827286
-0.570723,0.0764454
-0.566534,0.074351
-0.559203,0.074351
-0.55292,0.0764454
-0.548732,0.079587
-0.546637,0.0837758
-0.546637,0.090059
-0.543496,0.0963422
-0.540354,0.0994838
-0.535118,0.1015782
-0.535118,0.1078614
-0.534071,0.1089086
-0.525693,0.1078614
-0.523599,0.105767
-0.523599,0.1026254
-0.518363,0.0984366
-0.516268,0.0942478
-0.509985,0.0879646
-0.504749,0.0858702
-0.498466,0.079587
-0.491136,0.0764454
-0.483805,0.0701622
-0.483805,0.0659734
-0.484852,0.0649262
-0.483805,0.0607374
-0.47438,0.0523598
-0.473333,0.0502654
-0.473333,0.0471238
-0.472286,0.0460766
-0.472286,0.0397936
