29 Dra        WD1734+742    HD160538
40 ERI B      WD0413-077    HD26965  B
56 PEG B      WD2304+251    HD218356 B
56 Per Ab     WD0421+338    HD27786  Ab
Alp CMA B     WD0642-166    HD48915  B
Alp CMI B     WD0736+053    HD61421  B
AF Pic        WD0532-560  
AX Phe        WD0104-464  
AY Cet        WD0114-027    HD7672   B
BB Psc        WD0122+200  
BE UMa        WD1155+492  
BG CVn        WD1307+354  
BR Cam        WD0455+553  
BT Cam        WD1159+803  
Beta Crt B    WD1109-225    HD97277  B
CC Cet        WD0308+096  
CO Phe        WD0049-473  
CW Boo        WD1456+103  
CX Boo        WD1422+095  
DE CVn        WD1324+458  
DN Dra        WD1647+591  
DS DRA        WD1821+643  
DT Leo        WD1115+158  
DU Dra        WD1350+656  
EG UMa        WD1213+528  
EM UMA        WD1351+489  
FS Cet        WD0232+035  
GJ  86B       WD0208-510    HD13445  B
GJ 2092       WD1223-659  
GJ 283A       WD0738-172  
GJ 288B       WD0743-336    HD63077  B
GJ 293        WD0752-676  
GJ 4305B      WD2253+054  
GJ 432B       WD1132-325    HD100623 B
GJ 440        WD1142-645  
GJ 599B       WD1544-377    HD140901 B
GJ 781.3      WD2007-219  
GJ2034        WD0419-487  
GJ2145        WD1912+143  
GJ3064        WD0053-117  
GJ4355        WD2336-079  
GK Vir        WD1413+015  
GL  35        WD0046+051  
GL  64        WD0135-052  
GL  91.3      WD0213+427  
GL 151        WD0341+182  
GL 159.1      WD0401+250  
GL 166B       WD0413-077    HD22819  B
GL 169.1B     WD0426+588  
GL 246        WD0644+375  
GL 275.2B     WD0727+482  
GL 339.1      WD0912+536  
GL 427        WD1121+216  
GL 492        WD1257+037  
GL 518        WD1334+039  
GL 626.2      WD1626+368  
GL 630.1B     WD1633+572  
GL 742        WD1900+705  
GL 754.1A     WD1917-077  
GL 772        WD1953-011  
GL 794        WD2032+248  
GL 812B       WD2054-050  
GL 828.3      WD2124+550  
GL 828.5      WD2126+734  
GL 836.2      WD2136+828  
GL 836.5      WD2140+207  
GL 837.1      WD2144-079  
GL 838.4      WD2149+021  
GL 893.1      WD2311-068  
GL 895.2      WD2326+049  
GL 905.2B     WD2341+322  
GL1178.0      WD1344+106  
GW Vir        WD1159-034  
HD  2133B     WD0022-745    HD2133   B
HD 13611B     WD0210+086    HD13611  B
HD 15638      WD0226-615    HD15638  B
HD 18131B     WD0252-055    HD18131  B
HD 27483      WD0418+137    HD27483  B
HD 27786      WD0421+338    HD27786  B
HD 32008B     WD0457-103    HD32008  B
HD 33959C     WD0512+326    HD33959  C
HD 63077B     WD0743-336    HD63077  B
HD 70907      WD0821-252    HD70907
HD 74389B     WD0842+490  
HD 78791B     WD0905-724  
HD 81817B     WD0930+815  
HD 90052      WD1021+266  
HD 97277      WD1109-225  
HD106355      WD1211-169  
HD112313B     WD1253+261  
HD149499B     WD1634-573  
HD160365B     WD1736+133  
HD160538      WD1734+742  
HD165141      WD1803-482  
HD202109      WD2110+300  
HD204075      WD2123-226  
HD217411B     WD2257-073  
HD218356      WD2304+251  
HD223816B     WD2350-706  
HD27442B      WD0415-594  
HD283750      WD0433+270  
HL Tau 76     WD0415+271  
HR 649B       WD0210+086  
HR Cam        WD0710+741  
HR1358        WD0418+137  
HR1608B       WD0457-103  
HR4343        WD1109-225  
HR5864B       WD1544-377  
HR8115        WD2110+300  
HR8210B       WD2124+191  
HW Aqr        WD2348-244  
IK Peg        WD2124+191  
IN CMa        WD0718-316  
IN Com        WD1253+261  
IQ CAM        WD0422+543  
IR Peg        WD2131+066  
IU Vir        WD1401-147  
KR Peg        WD2303+242  
KV Vel        WD1052-485  
KW AUR C      WD0512+326  
L0226-018A    WD1618-507.1
L0226-018B    WD1618-507.2
LDS275A       WD0935-371.1
LDS275B       WD0935-371.2
LP322-500A    WD1302+312.1
LP322-500B    WD1302+312.2
LP462-056A    WD0935-371.1
LP462-056B    WD0935-371.2
LV Vel        WD1003-441  
MIRA B        WD0216-032  
MS Peg        WD2256+249  
MY Aps        WD1425-811  
NN Ser        WD1550+130  
OMI CETI B    WD0216-032  
PSR B1855+09  WD1855+096  
PT Vul        WD1950+250  
PY Vul        WD1935+276  
QU Tel        WD2005-525  
ROSS 137      WD1824+040  
ROSS 193B     WD2054-050  
ROSS 198      WD2124+550  
ROSS 548      WD0133-116  
ROSS 627      WD1121+216  
