
#Center Name            Member Name             Period_s        Node_deg    Incl_deg    Omega_deg   SMA_m       Eccn        Anomaly_deg         Epoch
Sun                     (system inclination)                    000         023.45

# https://en.wikipedia.org/wiki/Alpha_Centauri
Rigil Kentaurus         Toliman                 2.5170e+9       205.073     079.243     231.519     3.4855e+12  .519        000.0000000         1875.66

# https://doi.org/10.1051/0004-6361/201322469
HD20807                 HD20766                 5.36e+12?       296.2       065.5?      ?           5.610e+14?  ?                               2013.

# https://en.wikipedia.org/wiki/Algol
Algol                   HIP 14576 B             247737.1        043.43      098.70      000.00      3.337e+12   .0          316.57              2025.00274
Algol                   Algol C                 5.87665e+7      132.66      083.66      310.02      1.4502e+14  .227        000.0000000         1987.35831

# https://doi.org/10.1093%2Fmnras%2Fstv511
HD20794                 (dust disk)                             004.        050.                    3.7e+12

# https://doi.org/10.1086%2F174210
HD10700                 (stellar rotation)      4e+6                        007
HD10700                 (debris disk)                                       035

# https://doi.org/10.48550/arXiv.2303.13584
HD22049                 (asteroid belt)                         358         033.7                   1e+13

# https://en.wikipedia.org/wiki/Gliese_86
HD13445                 Gliese 86 B             3e+9            234.2       126.44      ?           3.55e12     .429

# https://en.wikipedia.org/wiki/Fomalhaut
# https://upload.wikimedia.org/wikipedia/commons/8/84/Fomalhaut_Dusty_Debris_Disk_%28MIRI_Compass_Image%29.png
# https://en.wikipedia.org/wiki/Fomalhaut#/media/File:NASA's_Hubble_Reveals_Rogue_Planetary_Orbit_For_Fomalhaut_B.jpg
HD216956                (debris disks)                          202         066.1

# https://en.wikipedia.org
HD61421                 (system inclination)                    100.683     031.408
HD201092                (system inclination)                    355.73      052.99
HD209100                (system inclination)                    147.959     077.082
Gliese 866 AB           (system inclination)                    162.1       112.4
HD1326                  (system inclination)                    254.77      036.7
Gliese 273              (system inclination)                    ?           072
HD239960                (system inclination)                    152.6       165.41
Gliese 234 A            (system inclination)                    210.385     052.918
Gliese 473 A            (system inclination)                    143.2       102.8
HD8890                  (system inclination)                    201.28      127.57
HD39801                 (stellar rotation)                      145         020
