~And, Andromeda, Andromedae
Alp And, Del And
Del And, Bet And
Bet And, Gam2And
Alp And, Pi  And
Pi  And, Mu  And
Mu  And, Phi And
Mu  And, Kap And
Kap And, Omi And
~Ant, Antlia, Antliae
Iot Ant, Alp Ant
Alp Ant, The Ant
The Ant, Eta Ant
~Aps, Apus, Apodis
Alp Aps, Del1Aps
Del1Aps, Gam Aps
Gam Aps, Bet Aps
~Aqr, Aquarius, Aquarii
Eps Aqr, Bet Aqr
Bet Aqr, Alp Aqr
Alp Aqr, Gam Aqr
Gam Aqr, Zet2Aqr
Zet2Aqr, Pi  Aqr
Zet2Aqr, Eta Aqr
Zet2Aqr, Lam Aqr
Lam Aqr, Tau2Aqr
Tau2Aqr, Tau1Aqr
Tau2Aqr, Del Aqr
Del Aqr, 77  Aqr
Del Aqr, 88  Aqr
88  Aqr, 89  Aqr
89  Aqr, 86  Aqr
88  Aqr, 98  Aqr
98  Aqr, 99  Aqr
98  Aqr, 94  Aqr
99  Aqr, 101 Aqr
98  Aqr, Ome1Aqr
104 Aqr, 97  Aqr
104 Aqr, 106 Aqr
106 Aqr, 107 Aqr
107 Aqr, 108 Aqr
Ome1Aqr, Psi3Aqr
Phi Aqr, Chi Aqr
97  Aqr, 94  Aqr
94  Aqr, Psi1Aqr
Ome1Aqr, Ome2Aqr
Ome2Aqr, HD222643
Psi1Aqr, Psi2Aqr
Psi2Aqr, Psi3Aqr
Psi1Aqr, Phi Aqr
Phi Aqr, Lam Aqr
~Aql, Aquila, Aquilae
Alp Aql, Bet Aql
Bet Aql, The Aql
The Aql, Eta Aql
Eta Aql, Iot Aql
Iot Aql, Lam Aql
Lam Aql, 12  Aql
12  Aql, Del Aql
Del Aql, Gam Aql
Gam Aql, Alp Aql
Gam Aql, Zet Aql
Zet Aql, Eps Aql
~Ara, Ara, Arae
The Ara, Alp Ara
Alp Ara, Eps1Ara
Eps1Ara, Zet Ara
Zet Ara, Eta Ara
Zet Ara, Gam Ara
Gam Ara, Del Ara
Gam Ara, Bet Ara
Bet Ara, Alp Ara
