Alpheratz                    358    677           
Caph                         432    746      8    
Algenib                      886   1067           
Ankaa                       2261   2081           
Cexing                      2905   2599           
Fulu                        3360   2920           
Schedar                     3712   3179           
Deneb Kaitos                4128   3419     31    
Achird                      4614   3821     34    
Tiansi                      5394   4427           
Castula                     5395   4422           
Mirach                      6860   5447   53.3    
YZ Ceti                                   54.1    
Ruchbah                     8538   6686           
UV Ceti                                     65 A  
BL Ceti                                     65 B  
Achernar                   10144   7588           
Baten Kaitos               11353   8645           
Segin                      11415   8886           
Mesartim                   11502   8832           
Sheratan                   11636   8903     80    
Alrescha                   12446   9487           
Hamal                      12929   9884   84.3    
Mira                       14386  10826           
Huagai                     15089  11569           
Polaris                     8890  11767           
Azha                       18322  13701           
Menkar                     18884  14135           
Algol                      19356  14576           
82 Eridani                 20794  15510    139    
Mirfak                     20902  15863           
Celaeno                    23288  17489           
Electra                    23302  17499           
Taygeta                    23338  17531           
Maia                       23408  17573           
Merope                     23480  17608           
Alcyone                    23630  17702           
Atlas                      23850  17847           
Pleione                    23862  17851           
Atik                       24398  18246           
Zaurak                     25025  18543           
Menkib                     24912  18614           
Beid                       26574  19587           
Aldebaran                  29139  21421  171.1    
Cursa                      33111  23875   9175    
Rigel                      34085  24436           
Capella                    34029  24608    194    
Bellatrix                  35468  25336           
Elnath                     35497  25428           
Nihal                      36079  25606           
Mintaka                    36486  25930           
Arneb                      36673  25985           
Meissa                     36861  26207           
Alnilam                    37128  26311           
Alnitak                    37742  26727           
Saiph                      38771  27366           
Betelgeuse                 39801  27989           
Menkalinan                 40183  28360   3375    
Propus                     42995  29655           
Mirzam                     44743  30324           
Canopus                    45348  30438           
Alhena                     47105  31681           
Sirius B                                   244    
Mebsuta                    48329  32246           
Sirius                     48915  32349    244    
Adhara                     52089  33579           
Mekbuda                    52973  34088           
Wezen                      54605  34444           
Wasat                      56986  35550    271    
Luyten's Star                              273    
Gomeisa                    58715  36188           
Castor                     60179  36850    278    
Procyon                    61421  37279    280    
Pollux                     62509  37826    286    
Avior                      71129  41037           
Muscida                    71369  41704           
Asellus Borealis           74198  42806           
Asellus Australis          74442  42911           
Acubens                    76756  44066           
Talitha                    76644  44127    331    
Miaplacidus                80007  45238           
Aspidiske                  80404  45556           
Alphard                    81797  46390           
Alterf                     82308  46750           
Rasalas                    85503  48455           
Regulus                    87901  49669           
Adhafera                   89025  50335           
Tania Borealis             89021  50372           
Tania Australis            89758  50801           
Wolf 359                                   406    
Alkes                      95272  53740           
Merak                      95418  53910   9343    
Dubhe                      95689  54061           
Zosma                      97603  54872    419    
Chertan                    97633  54879           
Giausar                   100029  56211           
Denebola                  102647  57632    448    
Zavijava                  102870  57757    449    
Phecda                    103287  58001           
Alchiba                   105452  59199  455.3    
Megrez                    106591  59774    459    
Gienah                    106625  59803           
Zaniah                    107259  60129           
Acrux                     108248  60718           
Algorab                   108767  60965           
Gacrux                    108903  61084           
Chara                     109358  61317    475    
Porrima                   110379  61941    482    
Mimosa                    111123  62434           
Alioth                    112185  62956           
Vindemiatrix              113226  63608           
Mizar                     116656  65378   3783    
Spica                     116658  65474           
Alcor                     116842  65477   3785    
Alkaid                    120315  67301           
Muphrid                   121370  67927    534    
Hadar                     122451  68702           
Thuban                    123299  68756           
Menkent                   123139  68933    539    
Arcturus                  124897  69673    541    
Syrma                     124850  69701   9473    
Seginus                   127762  71075           
Rigil Kentaurus           128620  71683
Toliman                   128621  71681
Proxima Centauri                  70890    551    
Izar                      129988  72105           
Kochab                    131873  72607           
Nekkar                    133208  73555           
Zubeneschamali            135742  74785           
Pherkad                   137422  75097           
Alkalurops                137391  75411   3903    
Edasich                   137759  75458           
Nusakan                   137909  75695           
Alphecca                  139006  76267           
Unukalhai                 140573  77070  596.2    
Graffias                  144217  78820           
Yed Prior                 146051  79593           
Yed Posterior             146791  79882   3949    
Antares                   148478  80763           
Kornephoros               148856  80816           
Marfik                    148857  80883           
Atria                     150798  82273           
Sabik                     155125  84012  656.1    
Rastaban                  159181  85670           
Lesath                    158408  85696           
Shaula                    158926  85927           
Rasalhague                159561  86032    681    
Sargas                    159532  86228           
Cebalrai                  161096  86742           
Grumium                   163588  87585           
Eltanin                   164058  87833           
Barnard's Star                    87937    699    
Kaus Media                168454  89931           
Kaus Australis            169022  90185           
Kaus Borealis             169916  90496  713.1    
Vega                      172167  91262    721    
Nunki                     175191  92855           
Sulafat                   176437  93194           
Ascella                   176687  93506           
Altais                    180711  94376           
Arkab                     181454  95241           
Rukbat                    181869  95347           
Tarazed                   186791  97278           
Altair                    187642  97649    768    
Alshain                   188114  98032           
Dabih                     193495 100345           
Sadr                      194093 100453           
Peacock                   193924 100751           
Deneb                     197345 102098           
Albali                    198001 102618           
Kitalpha                  202447 104987           
Alderamin                 203280 105199    826    
Alfirk                    205021 106032           
Sadalsuud                 204867 106278           
Nashira                   206088 106985   4209    
Enif                      206778 107315           
Deneb Algedi              207098 107556    837    
Sadalmelik                209750 109074           
Al Na'ir                  209952 109268  848.2    
Biham                     210418 109427   9771    
Ancha                     211391 110003           
Sadachbia                 212061 110395   9779    
Homam                     214923 112029           
Matar                     215182 112158           
Sadalbari                 216131 112748   4298    
Fomalhaut                 216956 113368    881    
Scheat                    217906 113881           
Markab                    218045 113963           
Errai                     222404 116727    903    
TX Piscium                223075 117245           
